Qty,MOQ,Item,Price,Link,Qty total,Price
1,1,DS18B20,3.12,https://www.mouser.co.uk/ProductDetail/Maxim-Integrated/DS18B20+TR?qs=7H2Jq%252ByxpJKpIDCbiq4lfg%3D%3D,25,78
1,1,PSU,62.88,https://www.mouser.co.uk/ProductDetail/Cincon/TRH220A240-1538E12-VI?qs=Znm5pLBrcALJXoCr1%2FrOzQ%3D%3D,25,1572
1,1,Photosensor,,https://uk.rs-online.com/web/p/photodiodes/6548154/,25,
,,,,,,
1,1,Power switch,5.34,https://uk.rs-online.com/web/p/toggle-switches/2066972,25,48.25
1,1,10M trim,1.93,https://www.mouser.co.uk/ProductDetail/Bourns/3296W-1-505LF?qs=sGAEpiMZZMukHu%252BjC5l7YRjOBZ1GIMXhE5EKSbsZV4U%3D,25,48.25
3,10,2-way terminal block,,,50,29.5
1,10,3-way terminal block,0.59,https://uk.rs-online.com/web/p/pcb-terminal-blocks/8970812,50,29.5
2,5,6-way terminal block,1.224,https://uk.rs-online.com/web/p/pcb-terminal-blocks/8970828,75,91.8
6,5,7-way terminal block,1.45,https://uk.rs-online.com/web/p/pcb-terminal-blocks/8970821,125,181.25
2,5,12-way terminal block,1.612,https://uk.rs-online.com/web/p/pcb-terminal-blocks/8970840,50,80.6
1,,Arduino,,,25,0
4,,2.54mm jumper,,,0,0
2,,15-way 2.54mm header,,,,
