Designator,Mid X,Mid Y,Rotation,Layer
A1,50.0,-9.5,90.0,top
C1,79.55,2.75,180.0,top
C10,75.3875,-144.5,270.0,top
C100,80.489999,-39.125,270.0,top
C101,29.15,-54.125,90.0,top
C102,80.89,-76.125,270.0,top
C103,29.315,-90.875,90.0,top
C104,81.03,-113.125,270.0,top
C105,54.24625,-54.225,90.0,top
C106,54.19,-19.375,90.0,top
C11,23.89,-37.1,180.0,top
C12,85.69,-18.9,0.0,top
C13,24.09,-74.1,180.0,top
C14,86.74,-55.9,0.0,top
C15,23.69,-110.85,180.0,top
C16,86.49,-93.15,0.0,top
C2,40.3,-146.25,0.0,top
C3,27.3875,-140.5,90.0,top
C32,47.215,-112.8,0.0,top
C33,62.615001,-112.5625,0.0,top
C34,25.5,-34.0,90.0,top
C35,37.65,-36.625,270.0,top
C36,37.375,-33.2,270.0,top
C37,22.5,-33.475,90.0,top
C38,22.15,-23.175,90.0,top
C39,22.15,-28.1,270.0,top
C4,37.3875,-144.5,270.0,top
C40,25.15,-28.125,270.0,top
C42,87.14,-22.775,270.0,top
C43,84.14,-22.25,270.0,top
C44,72.265,-23.049999,90.0,top
C45,87.489999,-33.075,270.0,top
C46,87.49,-28.15,90.0,top
C47,84.489999,-28.125,90.0,top
C49,71.99,-19.625,90.0,top
C5,59.3875,-146.25,0.0,top
C50,22.5,-70.475,90.0,top
C51,25.5,-71.0,90.0,top
C52,37.375,-70.2,270.0,top
C53,22.15,-60.175,90.0,top
C54,22.15,-65.1,270.0,top
C55,25.15,-65.125,270.0,top
C57,37.65,-73.625,270.0,top
C58,87.54,-59.775,270.0,top
C59,84.54,-59.25,270.0,top
C6,46.3875,-140.5,90.0,top
C60,72.665,-60.05,90.0,top
C61,87.89,-70.075,270.0,top
C62,87.89,-65.15,90.0,top
C63,84.89,-65.125,90.0,top
C65,72.39,-56.625,90.0,top
C66,22.665,-107.225,90.0,top
C67,25.665,-107.75,90.0,top
C68,37.54,-106.95,270.0,top
C69,22.315,-96.925,90.0,top
C7,56.3875,-144.5,270.0,top
C70,22.315,-101.85,270.0,top
C71,25.315,-101.875,270.0,top
C73,37.815,-110.375,270.0,top
C74,87.68,-96.775,270.0,top
C75,84.68,-96.25,270.0,top
C76,72.805,-97.05,90.0,top
C77,88.03,-107.075,270.0,top
C78,88.03,-102.15,90.0,top
C79,85.03,-102.125,90.0,top
C8,78.3875,-146.25,0.0,top
C81,72.53,-93.625,90.0,top
C82,47.59625,-70.575,90.0,top
C83,50.59625,-71.1,90.0,top
C84,62.47125,-70.3,270.0,top
C85,47.24625,-60.275,90.0,top
C86,47.24625,-65.2,270.0,top
C87,50.24625,-65.225,270.0,top
C89,62.74625,-73.725,270.0,top
C9,65.3875,-140.5,90.0,top
C90,47.54,-35.725,90.0,top
C91,50.54,-36.25,90.0,top
C92,62.415,-35.45,270.0,top
C93,47.19,-25.425,90.0,top
C94,47.19,-30.35,270.0,top
C95,50.19,-30.375,270.0,top
C97,62.69,-38.875,270.0,top
C98,52.29,12.02,270.0,top
C99,29.15,-17.125,90.0,top
D1,17.25,-44.0,270.0,top
D10,17.04,-81.0,270.0,top
D11,93.04,-49.15,90.0,top
D12,17.04,-117.85,270.0,top
D13,92.94,-86.15,90.0,top
D14,50.9775,-79.1,0.0,top
D15,51.04,-44.25,0.0,top
D16,59.540001,-117.5625,270.0,top
D17,44.14,-117.8,270.0,top
D2,79.6025,17.833334,180.0,top
D3,79.6025,14.416668,180.0,top
D4,100.9375,-132.0,0.0,top
D5,79.6025,11.0,180.0,top
D6,32.3875,-140.45,0.0,top
D7,51.3875,-140.5,0.0,top
D8,70.3875,-140.5,0.0,top
D9,93.04,-12.0,90.0,top
J1,27.04,34.5,180.0,top
J10,104.5,9.25,90.0,top
J11,28.5,-164.5,0.0,top
J12,105.0,-164.5,90.0,top
J13,13.54,34.5,180.0,top
J14,67.29,20.08,0.0,top
J2,5.64,-13.05,270.0,top
J3,104.5,-43.0,90.0,top
J4,5.64,-49.999999,270.0,top
J5,104.5,-80.0,90.0,top
J6,5.64,-87.0,270.0,top
J7,104.5,-117.0,90.0,top
J8,100.04,34.5,180.0,top
J9,5.5,-139.5,270.0,top
JP1,50.14,-108.6,180.0,top
JP2,46.14,-108.6,180.0,top
JP3,65.54,-108.3625,180.0,top
JP4,61.540001,-108.3625,180.0,top
L14,31.65,-28.15,180.0,top
L15,77.99,-28.1,0.0,top
L16,31.65,-65.15,180.0,top
L17,78.39,-65.1,0.0,top
L18,31.815,-101.9,180.0,top
L19,78.53,-102.1,0.0,top
L20,56.74625,-65.25,180.0,top
L21,56.69,-30.4,180.0,top
L22,42.74,-128.4,180.0,top
L23,61.74,-128.4,180.0,top
Q1,14.54,-2.75,180.0,top
R1,60.0,-6.0,270.0,top
R10,40.3,-148.5,0.0,top
R11,40.3,-144.0,0.0,top
R12,59.3875,-148.5,0.0,top
R13,59.3875,-144.0,0.0,top
R14,78.3875,-148.5,0.0,top
R15,78.3875,-144.0,0.0,top
R16,62.5,-6.0,270.0,top
R17,94.9125,-134.5,0.0,top
R18,94.875,-123.5,0.0,top
R19,98.875,-123.5,0.0,top
R2,68.0,-6.0,270.0,top
R20,100.375,-126.5875,90.0,top
R21,81.89,-16.500001,180.0,top
R22,27.75,-76.75,0.0,top
R23,82.29,-53.5,180.0,top
R24,27.915,-113.5,0.0,top
R25,82.43,-90.5,180.0,top
R26,50.9525,-76.85,180.0,top
R27,51.065,-42.0,180.0,top
R28,21.04,-39.1625,90.0,top
R29,88.54,-16.2125,270.0,top
R3,80.5,-6.0,270.0,top
R30,21.34,-76.7625,90.0,top
R31,89.44,-53.15,270.0,top
R32,20.99,-113.6,90.0,top
R33,89.24,-90.4,270.0,top
R4,65.25,-6.0,270.0,top
R42,89.5,-1.25,0.0,top
R44,89.5,-3.25,180.0,top
R46,60.8775,1.25,180.0,top
R47,91.8275,-137.9,180.0,top
R48,34.25,-40.5,90.0,top
R49,37.1625,-39.5875,0.0,top
R5,27.75,-39.75,0.0,top
R50,75.25,-15.75,270.0,top
R51,48.915,18.84,180.0,top
R52,72.5,-16.75,180.0,top
R53,83.54,-50.75,180.0,top
R54,70.29,-55.3375,270.0,top
R55,29.2025,-79.0,0.0,top
R56,40.04,-74.3375,90.0,top
R57,27.79,-115.75,0.0,top
R58,40.29,-111.0,90.0,top
R59,83.4525,-87.75,180.0,top
R6,76.08,17.833334,180.0,top
R60,70.34,-92.4,270.0,top
R61,59.29,-77.6,90.0,top
R62,62.29,-76.6,0.0,top
R63,59.54,-42.75,90.0,top
R64,62.54,-41.75,0.0,top
R65,65.94,-99.7625,270.0,top
R66,50.54,-100.0,270.0,top
R67,45.65,-100.0,270.0,top
R68,61.050001,-99.7625,270.0,top
R69,48.29,9.5875,90.0,top
R7,76.08,14.416668,180.0,top
R70,52.74,14.9025,90.0,top
R8,100.9625,-129.5,180.0,top
R9,76.08,11.0,180.0,top
RV1,87.0,-141.9,90.0,top
RV6,38.87,-79.25,0.0,top
RV7,71.79,-50.75,180.0,top
RV8,38.58,-115.75,0.0,top
RV9,71.96,-87.75,180.0,top
SW1,27.79,13.5,0.0,top
U1,30.3875,-146.5,180.0,top
U10,23.74,-113.35,0.0,top
U11,86.49,-90.65,180.0,top
U13,49.14,-117.265,90.0,top
U14,49.365,13.4,0.0,top
U15,77.99,-20.6,180.0,top
U16,31.65,-72.65,0.0,top
U17,78.39,-57.6,180.0,top
U18,31.815,-109.4,0.0,top
U19,78.53,-94.6,180.0,top
U2,49.3875,-146.5,180.0,top
U20,56.74625,-72.75,0.0,top
U21,56.69,-37.9,0.0,top
U22,64.540001,-117.0275,90.0,top
U3,68.3875,-146.5,180.0,top
U4,31.65,-35.65,0.0,top
U5,95.875,-129.0,90.0,top
U6,23.84,-39.6,0.0,top
U7,85.74,-16.4,180.0,top
U8,24.09,-76.6,0.0,top
U9,86.74,-53.4,180.0,top
