Qty,MOQ,Item,Price,Link,Qty total,Price,
1,5,10A poly,1.5,https://www.mouser.co.uk/ProductDetail/Littelfuse/AHEF1000?qs=U57xfPdTXtYZUQdyMy65sQ%3D%3D,25,37.5,
4,1,50k trim,1.82,https://www.mouser.co.uk/ProductDetail/Bourns/PV36Z503C01B00?qs=NE9ChkLHqDkRQ9sj781Bbw%3D%3D,100,182,
1,1,10M trim,1.93,https://www.mouser.co.uk/ProductDetail/Bourns/3296W-1-505LF?qs=sGAEpiMZZMukHu%252BjC5l7YRjOBZ1GIMXhE5EKSbsZV4U%3D,25,48.25,
1,1,DS18B20,3.12,https://www.mouser.co.uk/ProductDetail/Maxim-Integrated/DS18B20+TR?qs=7H2Jq%252ByxpJKpIDCbiq4lfg%3D%3D,25,78,
1,1,PSU,62.88,https://www.mouser.co.uk/ProductDetail/Cincon/TRH220A240-1538E12-VI?qs=Znm5pLBrcALJXoCr1%2FrOzQ%3D%3D,25,1572,
1,1,Photosensor,,https://uk.rs-online.com/web/p/photodiodes/6548154/,25,,
2,10,3-way terminal block,0.59,https://uk.rs-online.com/web/p/pcb-terminal-blocks/8970812,50,29.5,
1,10,4-way terminal block,0.58,https://uk.rs-online.com/web/p/pcb-terminal-blocks/8970815,25,14.5,
3,5,6-way terminal block,1.224,https://uk.rs-online.com/web/p/pcb-terminal-blocks/8970828,75,91.8,
5,5,7-way terminal block,1.45,https://uk.rs-online.com/web/p/pcb-terminal-blocks/8970821,125,181.25,
2,5,12-way terminal block,1.612,https://uk.rs-online.com/web/p/pcb-terminal-blocks/8970840,50,80.6,
1,,Arduino,,,25,0,
,,2.54mm headers,,,0,0,
1,1,Case,16.5,https://www.ebay.co.uk/itm/233123053418?var=532607705268&hash=item3647377f6a:g:c10AAOSwALlcWgH1&amdata=enc%3AAQAHAAAA8C%2F4nIyVx9fvknvuzrM2EjBaVGmmCUnThzx8eH0bYQAF7YCznqBI9esOwd6BJVCCL4dYmQmnJIJycmJU87m%2BmfSktS5xaFbE3VnkAg1xVCLKkve7Orq8OobwPY7qsT7qe6XC4wgwW%2B1rMgUHFcOuz%2FYQoQdgJPnznIHugAzyAJYJGLgFbx9%2B7hIDzb5PXh0Cd74B3lCPhR6TxxwxZtYRLBfMp162ErrcvaUAVZe2V5qh4BJM35eZWvv8wb1jytDrbSChIumidM03DNE%2F%2BthUs3Z9qgKnFGeI%2BpG5YZGfZbIT27BQJ4xtcwRBgt22m24uBA%3D%3D%7Ctkp%3ABFBMivCS37Rg,25,412.5,
4,,DRV104,,,100,0,
1,1,PCB,25,,25,625,
