Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nano,1,Arduino_Nano_v3.x,
"C1, C11, C12, C13, C14, C15, C16, C38, C45, C53, C61, C69, C77, C85, C93",0805,15,100n,C28233
"C10, C4, C7",0603,3,470p,C1620
"C100, C101, C102, C103, C104, C105, C106, C99",CP_Elec_10x10,8,100u,C371283
"C2, C5, C8",0805,3,150n,C1710
"C3, C6, C9",0805,3,1u,C28323
"C32, C33, C37, C39, C40, C42, C46, C47, C50, C54, C55, C58, C62, C63, C66, C70, C71, C74, C78, C79, C82, C86, C87, C90, C94, C95",1206,26,10u,C13585
"C34, C36, C43, C44, C51, C52, C59, C60, C67, C68, C75, C76, C83, C84, C91, C92",0805,16,220n,C5378
"C35, C49, C57, C65, C73, C81, C89, C97",0603,8,1u,C15849
C98,0402,1,10p,C32949
"D1, D10, D11, D12, D13, D14, D15, D9",0805,8,PG,C2297
"D16, D17, D6, D7, D8",D_SMA,5,SS34,C8678
D2,0805,1,RED,C84256
D3,0805,1,YELLOW,C2296
D4,0805,1,GREEN,C2297
D5,0603,1,BLUE,C72041
J1,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",1,PWR,
J10,"TerminalBlock_Phoenix_PT-1,5-3-5.0-H_1x03_P5.00mm_Horizontal",1,TEMP_SENSOR,
J11,"TerminalBlock_Phoenix_PT-1,5-12-5.0-H_1x12_P5.00mm_Horizontal",1,VALVES,
J12,"TerminalBlock_Phoenix_PT-1,5-6-5.0-H_1x06_P5.00mm_Horizontal",1,PHOTOSENSOR,
J13,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",1,PELTIER,
J14,PinHeader_1x05_P2.54mm_Vertical,1,GPIO_INT,
J2,"TerminalBlock_Phoenix_PT-1,5-7-5.0-H_1x07_P5.00mm_Horizontal",1,RAIL1,
J3,"TerminalBlock_Phoenix_PT-1,5-7-5.0-H_1x07_P5.00mm_Horizontal",1,RAIL2,
J4,"TerminalBlock_Phoenix_PT-1,5-7-5.0-H_1x07_P5.00mm_Horizontal",1,RAIL3,
J5,"TerminalBlock_Phoenix_PT-1,5-7-5.0-H_1x07_P5.00mm_Horizontal",1,RAIL4,
J6,"TerminalBlock_Phoenix_PT-1,5-7-5.0-H_1x07_P5.00mm_Horizontal",1,RAIL5,
J7,"TerminalBlock_Phoenix_PT-1,5-7-5.0-H_1x07_P5.00mm_Horizontal",1,RAIL6,
J8,"TerminalBlock_Phoenix_PT-1,5-14-5.0-H_1x14_P5.00mm_Horizontal",1,ARDUINO,
J9,"TerminalBlock_Phoenix_PT-1,5-6-5.0-H_1x06_P5.00mm_Horizontal",1,LED,
"JP1, JP2, JP3, JP4",PinHeader_1x02_P2.54mm_Vertical,4,JUMP,C5305
"L14, L15, L16, L17, L18, L19, L20, L21",L_Cenker_CKST0603,8,15uH 4A,C3002651
"L22, L23",L_SMMS1360,2,100uH,C149534
Q1,TO-263-2,1,LNE08R085,C483709
"R1, R54, R56, R58, R60, R70",0805,6,4.7k,C17673
"R10, R12, R14",0805,3,120k,C17436
"R11, R13, R15",0805,3,200k,C17539
"R16, R2, R21, R22, R23, R24, R25, R26, R27, R3, R4, R5, R6, R7",0805,14,220R,C17557
"R17, R46, R47",0805,3,10K,C17414
"R18, R19",0805,2,30k,C17621
R20,0805,1,150k,C17470
"R28, R29, R30, R31, R32, R33, R42",0805,7,47k 1%,C17713
R44,0805,1,8.87k 1%,C37551
"R48, R50, R53, R55, R57, R59, R61, R63",0805,8,100k 1%,C149504
"R49, R52, R62",0805,3,9.09k 1%,C408923
R51,2512,1,0.005R,C5121085
R64,0805,1,24.9k 1%,C234872
"R65, R66",2512,2,0.15R,C2924565
"R67, R68",2512,2,0.3R,C2912677
R69,0805,1,13k,C217812
"R8, R9",0805,2,1K,C17513
RV1,Potentiometer_Bourns_3296W_Vertical,1,5M,
"RV6, RV7, RV8, RV9",Potentiometer_Bourns_3296W_Vertical,4,47k 10-turn,C83686
SW1,RS 2066972,1,RS 206-6972,
"U1, U2, U3",HTSSOP-14-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask3x3.1mm_ThermalVias,3,DRV104,C2150346
"U10, U11, U6, U7, U8, U9",SOT-353_SC-70-5,6,74LVC1G04,C8207
"U13, U22",CONV_AL8861Y-13,2,AL8861Y-13,C507867
U14,SOT-23-5,1,ZXCT1110,C78482
"U15, U16, U17, U18, U19, U20, U21, U4",Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias,8,LMR33630ADDA,C841384
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP6002-xSN,C7377
